model,strategy,outcome,cohort,fold,n_train,n_test,auc_roc,f1_weighted,sensitivity,specificity
ANN,Age-stratified,Binary,Children,5,737,184,0.762414800389484,0.8121028165162703,0.3076923076923077,0.8987341772151899
Random Forest,Age-stratified,Binary,Youth,1,1628,406,0.6865175963277229,0.7194227251225104,0.10989010989010989,0.9746835443037974
Random Forest,Age-stratified,Binary,Youth,2,1628,406,0.7495826957852274,0.7452657940669225,0.14285714285714285,0.9968354430379747
Random Forest,Age-stratified,Binary,Youth,3,1628,406,0.736420225344276,0.7323678595892982,0.12087912087912088,0.990506329113924
Random Forest,Age-stratified,Binary,Youth,4,1628,406,0.7454451345755693,0.7290453520066567,0.11956521739130435,0.9904761904761905
Random Forest,Age-stratified,Binary,Youth,5,1628,406,0.7448281876853307,0.7405375270494066,0.15384615384615385,0.9809523809523809
ANN,Age-stratified,Binary,Youth,1,1628,406,0.6782932257615801,0.7248157248157249,0.38461538461538464,0.8227848101265823
ANN,Age-stratified,Binary,Youth,2,1628,406,0.7303519265544582,0.755896920494838,0.4945054945054945,0.8259493670886076
ANN,Age-stratified,Binary,Youth,3,1628,406,0.727222144943664,0.7588077872485872,0.3956043956043956,0.8734177215189873
ANN,Age-stratified,Binary,Youth,4,1628,406,0.7083160800552105,0.7367274738118728,0.358695652173913,0.8571428571428571
ANN,Age-stratified,Binary,Youth,5,1628,406,0.7534275248560963,0.7693045870385772,0.5494505494505495,0.8253968253968254
Random Forest,Age-stratified,Binary,Adults,1,3154,788,0.6790755550946869,0.6112297936284056,0.4273743016759777,0.7888631090487239
Random Forest,Age-stratified,Binary,Adults,2,3154,788,0.6638614888073727,0.6057192255267323,0.4748603351955307,0.7262180974477959
Random Forest,Age-stratified,Binary,Adults,3,3154,788,0.660534747541708,0.6068752305097821,0.42296918767507,0.7842227378190255
Random Forest,Age-stratified,Binary,Adults,4,3154,788,0.6502043973041653,0.5984836577815226,0.453781512605042,0.7331786542923434
Random Forest,Age-stratified,Binary,Adults,5,3154,788,0.6699844671047073,0.5971774530996585,0.4173669467787115,0.7703016241299304
ANN,Age-stratified,Binary,Adults,1,3154,788,0.6333523441651869,0.6022056875669043,0.5670391061452514,0.6310904872389791
ANN,Age-stratified,Binary,Adults,2,3154,788,0.6283069125977007,0.5848386036877575,0.5614525139664804,0.6032482598607889
ANN,Age-stratified,Binary,Adults,3,3154,788,0.6016624747346735,0.5967138502775274,0.5630252100840336,0.6241299303944315
ANN,Age-stratified,Binary,Adults,4,3154,788,0.6458174917298707,0.6084831716143976,0.5910364145658263,0.6218097447795824
ANN,Age-stratified,Binary,Adults,5,3154,788,0.6426166754404778,0.5968396685971595,0.5350140056022409,0.6496519721577726
Random Forest,Age-stratified,Binary,Seniors,1,1032,257,0.7827303131650958,0.7151880562733275,0.7832167832167832,0.6347826086956522
Random Forest,Age-stratified,Binary,Seniors,2,1032,257,0.7523563393128612,0.6871088142405971,0.7692307692307693,0.591304347826087
Random Forest,Age-stratified,Binary,Seniors,3,1032,257,0.7599878382487079,0.6930268076755729,0.7412587412587412,0.6347826086956522
Random Forest,Age-stratified,Binary,Seniors,4,1032,257,0.7265126178169656,0.6238537260111896,0.7202797202797203,0.5130434782608696
Random Forest,Age-stratified,Binary,Seniors,5,1032,257,0.7607470912431109,0.7182417360293958,0.7816901408450704,0.6434782608695652
ANN,Age-stratified,Binary,Seniors,1,1032,257,0.7456369717239282,0.6635403576632556,0.6713286713286714,0.6521739130434783
ANN,Age-stratified,Binary,Seniors,2,1032,257,0.7259957433870478,0.6901671994006272,0.7132867132867133,0.6608695652173913
