comparison,model,outcome,metric,mean_a,mean_b,difference,t_statistic,p_value,significant_05
RF vs ANN (Pooled baseline),RF vs ANN,Binary,f1_weighted,0.6754792033224248,0.6676123583903679,0.007866844932056916,1.408218486863964,0.23183706885486477,False
RF vs ANN (Pooled baseline),RF vs ANN,Binary,sensitivity,0.4026550854169617,0.5782279848730416,-0.1755728994560799,-13.651917303301103,0.00016672449206480002,True
RF vs ANN (Pooled baseline),RF vs ANN,Binary,specificity,0.8738986703611769,0.7197471569589563,0.15415151340222055,18.83793296637605,4.676309001514484e-05,True
RF vs ANN (Pooled baseline),RF vs ANN,Multiclass,auc_roc,0.728312360109473,0.6775747918888498,0.05073756822062314,3.2890641583992677,0.030242067161289694,True
RF vs ANN (Pooled baseline),RF vs ANN,Multiclass,f1_weighted,0.5000303353215838,0.5772509745472935,-0.07722063922570965,-11.397123558790414,0.0003380671943797139,True
RF vs ANN (Pooled baseline),RF vs ANN,Multiclass,sensitivity,0.6282681548411542,0.580258789605155,0.04800936523599919,8.745745168450561,0.000941951079128612,True
RF vs ANN (Pooled baseline),RF vs ANN,Multiclass,specificity,0.4045555130249888,0.6471238711203644,-0.24256835809537558,-17.53104121424307,6.216673838058378e-05,True
RF vs ANN (Age-inclusive pooled),RF vs ANN,Binary,auc_roc,0.7619693144681146,0.7184528248540666,0.04351648961404797,5.270228116938306,0.0062111818234292454,True
RF vs ANN (Age-inclusive pooled),RF vs ANN,Binary,f1_weighted,0.6784462736210772,0.676925782151424,0.0015204914696532734,0.291951721176368,0.784839394772405,False
RF vs ANN (Age-inclusive pooled),RF vs ANN,Binary,sensitivity,0.41302313627375387,0.609328990364694,-0.19630585409094015,-12.191264037788072,0.0002598500966008194,True
RF vs ANN (Age-inclusive pooled),RF vs ANN,Binary,specificity,0.8701718332082589,0.7142561911909022,0.15591564201735664,19.12376093751387,4.4053709239631204e-05,True
RF vs ANN (Age-inclusive pooled),RF vs ANN,Multiclass,auc_roc,0.7319055948376562,0.6792549659294205,0.052650628908235686,4.912282058968638,0.007973381217489793,True
RF vs ANN (Age-inclusive pooled),RF vs ANN,Multiclass,f1_weighted,0.512085315254103,0.5812023949466516,-0.06911707969254866,-5.9552905368350215,0.0039903763555758105,True
RF vs ANN (Age-inclusive pooled),RF vs ANN,Multiclass,sensitivity,0.6335206977235076,0.5822150767172147,0.05130562100629288,5.208495154165854,0.006478298701744533,True
RF vs ANN (Age-inclusive pooled),RF vs ANN,Multiclass,specificity,0.41549396228756824,0.6525741457465563,-0.23708018345898801,-18.858639939521538,4.655994195602383e-05,True
"Binary vs Multiclass (Random Forest, Pooled baseline)",Random Forest,Binary vs Multiclass,auc_roc,0.7598603717532771,0.728312360109473,0.031548011643804164,2.3397720860527693,0.07939815114923289,False
"Binary vs Multiclass (Random Forest, Pooled baseline)",Random Forest,Binary vs Multiclass,f1_weighted,0.6754792033224248,0.5000303353215838,0.17544886800084103,40.84160744292272,2.147861057839656e-06,True
"Binary vs Multiclass (Random Forest, Pooled baseline)",Random Forest,Binary vs Multiclass,sensitivity,0.4026550854169617,0.6282681548411542,-0.22561306942419246,-30.372497915742077,6.999985457220115e-06,True
"Binary vs Multiclass (Random Forest, Pooled baseline)",Random Forest,Binary vs Multiclass,specificity,0.8738986703611769,0.4045555130249888,0.46934315733618803,65.45665278814447,3.2633272697330436e-07,True
"Binary vs Multiclass (Random Forest, Age-inclusive pooled)",Random Forest,Binary vs Multiclass,auc_roc,0.7619693144681146,0.7319055948376562,0.030063719630458396,3.213838835436306,0.032470119561198794,True
"Binary vs Multiclass (Random Forest, Age-inclusive pooled)",Random Forest,Binary vs Multiclass,f1_weighted,0.6784462736210772,0.512085315254103,0.1663609583669743,31.332582832461515,6.183338629454902e-06,True
"Binary vs Multiclass (Random Forest, Age-inclusive pooled)",Random Forest,Binary vs Multiclass,sensitivity,0.41302313627375387,0.6335206977235076,-0.22049756144975374,-20.77891623241971,3.169447201189526e-05,True
"Binary vs Multiclass (Random Forest, Age-inclusive pooled)",Random Forest,Binary vs Multiclass,specificity,0.8701718332082589,0.41549396228756824,0.4546778709206906,51.60736212659506,8.437587457494873e-07,True
"Binary vs Multiclass (ANN, Pooled baseline)",ANN,Binary vs Multiclass,auc_roc,0.7091275234645649,0.6775747918888498,0.03155273157571503,2.9947399619246613,0.04014977529445611,True
"Binary vs Multiclass (ANN, Pooled baseline)",ANN,Binary vs Multiclass,f1_weighted,0.6676123583903679,0.5772509745472935,0.09036138384307446,14.148560689438948,0.0001448690332972386,True
"Binary vs Multiclass (ANN, Pooled baseline)",ANN,Binary vs Multiclass,sensitivity,0.5782279848730416,0.580258789605155,-0.002030804732113367,-0.23471746563165596,0.8259535938377044,False
"Binary vs Multiclass (ANN, Pooled baseline)",ANN,Binary vs Multiclass,specificity,0.7197471569589563,0.6471238711203644,0.0726232858385919,5.160241713434707,0.006696905045531697,True
"Binary vs Multiclass (ANN, Age-inclusive pooled)",ANN,Binary vs Multiclass,auc_roc,0.7184528248540666,0.6792549659294205,0.03919785892464611,4.986211810294859,0.007563937525364661,True
"Binary vs Multiclass (ANN, Age-inclusive pooled)",ANN,Binary vs Multiclass,f1_weighted,0.676925782151424,0.5812023949466516,0.09572338720477236,20.070091715828102,3.6374751067685666e-05,True
"Binary vs Multiclass (ANN, Age-inclusive pooled)",ANN,Binary vs Multiclass,sensitivity,0.609328990364694,0.5822150767172147,0.027113913647479282,5.992434822724985,0.003900530455400744,True
"Binary vs Multiclass (ANN, Age-inclusive pooled)",ANN,Binary vs Multiclass,specificity,0.7142561911909022,0.6525741457465563,0.06168204544434597,7.180856199781438,0.001991977456235678,True
